Genre,Actor,Director,Country,Budget_MUSD,Screens,Weeks,Screen_Stability,Ticket_Price,Shows_per_Day,Revenue_MUSD,Profit_MUSD,Target,Rating
Sci-Fi,Michael Che,Wes Anderson,United States,115,1165,8,Drop Fast,45,18,141.13,26.13,1,7.7
Romance,Willem Dafoe,Phil Lord,Mexico,228,7644,12,Stable,32,19,3141.41,2913.41,1,10.0
Thriller,John Ratzenberger,Rémi Bezançon,Japan,79,6878,1,Drop Fast,46,9,36.66,-42.34,0,2.7
Drama,Hugo Weaving,Kirk DeMicco,Italy,18,700,7,Stable,11,15,36.24,18.24,1,8.0
Animation,Frank Welker,Suhas Kadav,Thailand,262,4754,3,Drop Fast,10,7,23.86,-238.14,0,3.9
Comedy,Elizabeth Banks,Dean DeBlois,United Kingdom,193,249,12,Growing,41,6,71.04,-121.96,0,6.8
Romance,Sandra Oh,Suhas Kadav,Belgium,368,9361,4,Stable,17,5,154.83,-213.17,0,4.3
Comedy,Patrick Stewart,Stanley Kubrick,United Kingdom,243,1187,6,Slow Drop,34,19,125.04,-117.96,0,4.5
Horror,Antonio Banderas,George Lucas,Japan,405,6971,5,Slow Drop,8,20,178.26,-226.74,0,5.0
Romance,Willem Dafoe,Hayao Miyazaki,India,338,1315,8,Stable,51,1,30.81,-307.19,0,5.5
Drama,Christian Bale,Kenji Mizoguchi,France,308,4132,2,Slow Drop,59,21,306.92,-1.08,0,2.5
Comedy,Yash,Gary Trousdale,Russia,95,4634,5,Stable,32,7,255.28,160.28,1,7.5
Mystery,Mark Hamill,Manmohan Desai,France,396,3767,5,Growing,72,18,1241.56,845.56,1,7.0
Romance,J.K. Simmons,John Huston,Denmark,188,1858,3,Growing,18,8,46.87,-141.13,0,3.8
Action,Leslie Jones,Guru Dutt,India,21,8144,14,Drop Fast,75,12,-435.8,-456.8,0,8.3
Animation,Akshay Kumar,Alejandro G. Iñárritu,France,16,6000,10,Slow Drop,22,10,718.26,702.26,1,9.2
Drama,Andy Serkis,Masaaki Yuasa,Mexico,170,4576,13,Slow Drop,64,6,968.86,798.86,1,10.0
Comedy,Rajinikanth,Don Bluth,New Zealand,150,8217,5,Slow Drop,71,16,1538.81,1388.81,1,6.8
Drama,Sterling K. Brown,Hamilton Luske,Spain,286,3015,4,Stable,18,19,150.27,-135.73,0,2.7
Sci-Fi,Kumail Nanjiani,Vittorio De Sica,India,41,1170,11,Growing,27,18,466.37,425.37,1,9.7
Animation,Hank Azaria,Pete Docter,Germany,74,8020,5,Slow Drop,37,13,555.97,481.97,1,7.5
Mystery,Bonnie Hunt,George Miller,United Kingdom,173,5712,10,Drop Fast,17,20,392.72,219.72,1,8.1
Romance,Helena Bonham Carter,François Truffaut,Thailand,339,407,9,Slow Drop,61,7,54.44,-284.56,0,6.1
Romance,Sharad Kelkar,Ron Clements,China,174,459,7,Drop Fast,65,7,28.64,-145.36,0,5.1
Romance,Colin Jost,Abbas Kiarostami,Brazil,257,5225,1,Slow Drop,36,16,111.0,-146.0,0,1.6
Animation,Hailee Steinfeld,Robert Zemeckis,South Korea,350,4558,3,Slow Drop,8,10,38.69,-311.31,0,3.3
Action,Ram Charan,Clyde Geronimi,Thailand,301,9174,9,Growing,65,15,-3042.93,-3343.93,0,4.8
Horror,Irrfan Khan,Billy Wilder,Brazil,435,704,4,Drop Fast,28,14,14.35,-420.65,0,3.2
Fantasy,Will Arnett,Isao Takahata,Ireland,146,1959,4,Slow Drop,22,12,50.58,-95.42,0,4.2
Thriller,Bradley Cooper,Carlos Saldanha,Japan,389,7714,10,Drop Fast,74,15,-707.47,-1096.47,0,5.2
Comedy,Ben Stiller,Sergio Pablos,Denmark,277,7960,6,Drop Fast,40,8,270.71,-6.29,0,4.3
Action,Ben Stiller,Karan Johar,United States,229,3994,3,Growing,45,7,259.08,30.08,1,6.4
Mystery,Jordan Peele,Tim Burton,Thailand,187,3790,3,Growing,26,21,489.89,302.89,1,7.1
Comedy,Nawazuddin Siddiqui,Alfonso Cuarón,India,225,7170,9,Drop Fast,11,9,109.63,-115.37,0,6.1
Romance,Hugo Weaving,Ang Lee,Germany,57,9180,13,Growing,65,14,-1179.82,-1236.82,0,6.5
Drama,Alex Borstein,Quentin Tarantino,Russia,122,6485,5,Slow Drop,77,7,561.86,439.86,1,7.9
Mystery,Bill Hader,Pierre Coffin,Denmark,369,3529,14,Slow Drop,19,12,358.05,-10.95,0,7.6
Comedy,Seth Rogen,Neeraj Pandey,Spain,163,4212,7,Growing,24,14,749.56,586.56,1,7.5
Romance,Bradley Cooper,Christopher Miller,Italy,140,2292,5,Drop Fast,8,11,16.61,-123.39,0,3.3
Comedy,Phil LaMarr,Clyde Geronimi,Canada,418,3167,6,Slow Drop,21,19,171.53,-246.47,0,5.3
Drama,Wallace Shawn,Robert Eggers,Italy,81,9461,8,Stable,9,6,256.05,175.05,1,8.4
Romance,John Leguizamo,Suhas Kadav,Australia,340,1875,8,Drop Fast,11,3,7.54,-332.46,0,6.2
Horror,Dev Patel,Alfonso Cuarón,Thailand,49,4596,2,Drop Fast,73,6,49.07,0.07,1,5.1
Action,Lakeith Stanfield,Sunao Katabuchi,France,22,487,11,Stable,53,9,115.04,93.04,1,9.5
Sci-Fi,Jonathan Groff,Majid Majidi,Germany,359,985,9,Stable,57,2,53.12,-305.88,0,4.8
Thriller,Zendaya,Ang Lee,Mexico,433,2516,10,Drop Fast,67,6,174.79,-258.21,0,6.0
Animation,Ashutosh Rana,Ari Aster,Denmark,407,3038,12,Stable,59,14,1917.0,1510.0,1,10.0
Thriller,John Leguizamo,David Fincher,Spain,209,7429,12,Growing,55,19,-1868.16,-2077.16,0,6.0
Mystery,Salman Khan,Rich Moore,Thailand,328,8337,12,Growing,46,23,-1166.35,-1494.35,0,6.3
Thriller,Bradley Cooper,Jennifer Yuh Nelson,Denmark,87,8318,14,Drop Fast,77,4,541.52,454.52,1,10.0
Romance,Christopher Lee,Yasuhiro Yoshiura,Russia,54,1465,6,Growing,67,14,474.19,420.19,1,6.6
Horror,Meryl Streep,Zack Snyder,India,285,3183,7,Slow Drop,37,21,680.88,395.88,1,7.7
Sci-Fi,Cree Summer,Asghar Farhadi,Canada,170,6101,3,Growing,34,10,429.41,259.41,1,5.9
Action,Amitabh Bachchan,Tomm Moore,Denmark,247,8131,4,Growing,62,6,737.79,490.79,1,7.3
Action,Patrick Stewart,Orson Welles,Russia,381,8343,6,Stable,77,11,1633.5,1252.5,1,6.5
Drama,Jim Cummings,Brad Bird,Mexico,168,8230,7,Growing,33,13,2462.85,2294.85,1,8.5
Animation,Jordan Peele,Barry Jenkins,South Korea,328,8462,6,Drop Fast,49,18,999.7,671.7,1,7.8
Comedy,John DiMaggio,Goro Miyazaki,Mexico,60,811,5,Growing,74,20,463.36,403.36,1,6.6
Horror,Hugo Weaving,Goro Miyazaki,Brazil,43,7428,14,Growing,74,14,-912.17,-955.17,0,7.0
Comedy,Kristen Bell,Ash Brannon,Australia,323,3723,12,Drop Fast,59,20,776.96,453.96,1,10.0
Sci-Fi,Meryl Streep,Mark Osborne,South Korea,132,5712,2,Drop Fast,13,22,56.93,-75.07,0,2.9
Thriller,Jim Cummings,Sam Raimi,France,395,3902,12,Stable,17,20,707.02,312.02,1,9.5
Action,Seth MacFarlane,Luc Besson,Japan,126,5624,7,Slow Drop,45,11,669.83,543.83,1,6.9
Sci-Fi,Bradley Cooper,M. Night Shyamalan,Thailand,251,8582,5,Growing,19,21,958.76,707.76,1,6.3
Thriller,Pamela Adlon,Gary Trousdale,Spain,190,1828,12,Slow Drop,53,5,174.02,-15.98,0,7.0
Action,Pamela Adlon,Martin Scorsese,Denmark,212,8107,9,Stable,56,8,1380.66,1168.66,1,8.6
Thriller,Mindy Kaling,Ridley Scott,Thailand,319,3572,13,Drop Fast,79,4,290.41,-28.59,0,7.7
Animation,Willem Dafoe,Hamilton Luske,New Zealand,308,8408,11,Drop Fast,70,12,-1190.95,-1498.95,0,7.1
Horror,James Earl Jones,Vetrimaaran,Italy,393,9458,4,Drop Fast,76,6,211.5,-181.5,0,3.4
Mystery,Hailee Steinfeld,Stanley Kubrick,Australia,243,3339,14,Stable,50,23,2505.56,2262.56,1,9.8
Sci-Fi,Hank Azaria,Rian Johnson,Spain,219,2459,10,Growing,67,8,1135.07,916.07,1,9.6
Sci-Fi,Alan Tudyk,Satoshi Kon,Germany,296,2450,12,Stable,36,4,210.3,-85.7,0,6.9
Fantasy,Liam Neeson,Shyam Benegal,Ireland,228,6321,2,Drop Fast,18,20,79.02,-148.98,0,3.8
Romance,Mila Kunis,Quentin Tarantino,Belgium,92,8381,7,Growing,42,10,2221.14,2129.14,1,8.4
Animation,Nawazuddin Siddiqui,Bong Joon-ho,United States,29,483,7,Drop Fast,30,11,20.19,-8.81,0,4.5
Animation,Bonnie Hunt,John Lasseter,New Zealand,433,5925,1,Drop Fast,79,15,129.99,-303.01,0,2.3
Comedy,Robin Williams,Travis Knight,Brazil,224,8118,11,Stable,28,5,731.54,507.54,1,8.9
Thriller,Zendaya,Martin Scorsese,United States,279,5437,14,Stable,44,3,495.43,216.43,1,10.0
Romance,Steve Carell,Robert Eggers,Russia,139,8994,13,Slow Drop,35,15,-1648.48,-1787.48,0,7.6
Horror,Aidy Bryant,Orson Welles,Australia,446,4275,5,Drop Fast,65,2,40.18,-405.82,0,4.2
Horror,Jack Black,David Lean,Thailand,237,6362,3,Growing,60,2,180.68,-56.32,0,2.9
Animation,Steve Buscemi,Nishith Takia,Mexico,70,7836,9,Drop Fast,35,8,571.93,501.93,1,9.2
Horror,J.K. Simmons,Travis Knight,South Korea,84,5937,9,Growing,49,22,4735.63,4651.63,1,7.8
Fantasy,Willem Dafoe,Alfred Hitchcock,Mexico,427,9192,7,Slow Drop,68,14,1975.09,1548.09,1,7.1
Sci-Fi,Maggie Smith,Anurag Kashyap,Brazil,259,9151,12,Drop Fast,40,9,734.48,475.48,1,9.6
Drama,Maurice LaMarche,Park Chan-wook,United States,129,8202,9,Growing,62,5,1585.25,1456.25,1,9.0
Mystery,Ken Jeong,Christopher Nolan,Germany,150,7272,12,Growing,44,12,3066.7,2916.7,1,10.0
Comedy,Ranveer Singh,Hamilton Luske,India,107,1693,2,Slow Drop,54,10,54.22,-52.78,0,2.5
Thriller,Issa Rae,Deepa Mehta,Australia,389,9206,11,Stable,43,1,255.66,-133.34,0,6.8
Mystery,Bradley Cooper,Joseph L. Mankiewicz,Japan,391,572,10,Slow Drop,35,19,116.95,-274.05,0,5.1
Thriller,Tom Hiddleston,Rajkumar Hirani,Japan,387,5787,8,Growing,17,11,832.32,445.32,1,7.8
Action,David Hyde Pierce,Damien Chazelle,Canada,281,7271,10,Slow Drop,30,17,1104.23,823.23,1,9.4
Mystery,Riz Ahmed,Rémi Bezançon,Belgium,386,3091,10,Stable,12,3,60.13,-325.87,0,5.4
Drama,Bobby Cannavale,Clyde Geronimi,Thailand,128,6786,10,Drop Fast,13,1,18.98,-109.02,0,5.4
Animation,Jenny Slate,Akira Kurosawa,Brazil,418,7823,13,Slow Drop,49,17,-1452.67,-1870.67,0,6.4
Fantasy,Dev Patel,Chris Wedge,France,271,3519,1,Slow Drop,54,6,30.47,-240.53,0,2.1
Sci-Fi,Dwayne Johnson,Mamoru Hosoda,India,282,4167,3,Drop Fast,35,13,69.5,-212.5,0,3.8
Sci-Fi,Katey Sagal,Sergio Pablos,India,115,1022,8,Slow Drop,20,20,142.67,27.67,1,8.9
Fantasy,Hank Azaria,Sergei Eisenstein,South Korea,385,421,11,Stable,32,4,30.92,-354.08,0,7.1
Romance,Mike Myers,Federico Fellini,United Kingdom,317,7080,8,Growing,14,5,247.47,-69.53,0,4.3
Action,Anna Kendrick,Yasuhiro Yoshiura,Russia,93,4088,14,Slow Drop,73,15,-2497.41,-2590.41,0,8.6
Thriller,Keegan-Michael Key,Chloe Zhao,South Korea,391,5500,10,Drop Fast,65,14,978.74,587.74,1,9.0
Drama,Kristen Wiig,John Musker,Denmark,162,3470,8,Drop Fast,73,19,565.9,403.9,1,8.9
Horror,James Corden,Hamilton Luske,Italy,220,4893,11,Slow Drop,43,15,1208.93,988.93,1,10.0
Mystery,Donald Glover,Henry Selick,Italy,388,7766,12,Drop Fast,9,12,183.98,-204.02,0,6.8
Action,Brian Tyree Henry,Clyde Geronimi,Japan,305,4193,11,Growing,45,18,2453.73,2148.73,1,8.5
Mystery,Ashutosh Rana,Bimal Roy,New Zealand,40,2798,7,Growing,21,14,441.22,401.22,1,8.0
Drama,Varun Dhawan,James Cameron,United States,91,1866,2,Drop Fast,34,10,17.81,-73.19,0,2.5
Comedy,Phil LaMarr,Shankar,New Zealand,122,4957,3,Slow Drop,22,8,85.65,-36.35,0,2.6
Comedy,Kelsey Grammer,Zoya Akhtar,China,332,1754,9,Slow Drop,19,23,185.38,-146.62,0,5.0
Action,Danny DeVito,Claude Barras,Australia,186,6315,2,Drop Fast,50,4,31.95,-154.05,0,2.9
Animation,Mike Myers,Ritwik Ghatak,Mexico,72,5637,13,Growing,64,18,-4619.37,-4691.37,0,6.4
Drama,Judi Dench,Kathryn Bigelow,Italy,438,6441,7,Growing,55,8,1530.32,1092.32,1,8.4
Drama,Issa Rae,Nick Park,Russia,363,9472,1,Slow Drop,68,4,64.24,-298.76,0,1.9
Fantasy,Chris Rock,Pa. Ranjith,Russia,163,287,3,Growing,51,11,36.83,-126.17,0,3.3
Animation,Riz Ahmed,Taika Waititi,Ireland,289,7315,13,Stable,59,5,2164.62,1875.62,1,9.5
Thriller,Tom Hiddleston,Guillermo del Toro,Spain,447,2903,14,Growing,69,10,1914.7,1467.7,1,10.0
Thriller,Matthew McConaughey,S.S. Rajamouli,Thailand,168,2618,1,Slow Drop,9,6,4.65,-163.35,0,2.8
Horror,Billy Crystal,Masaaki Yuasa,Canada,365,4347,6,Growing,78,4,572.3,207.3,1,6.8
Sci-Fi,Cecily Strong,Robert Zemeckis,China,77,1947,4,Growing,38,18,397.65,320.65,1,7.0
Comedy,Rose Byrne,Hamilton Luske,Denmark,123,8432,1,Drop Fast,79,21,252.04,129.04,1,4.6
Thriller,Neil Patrick Harris,Phil Lord,Japan,345,238,5,Stable,40,17,38.25,-306.75,0,4.5
Animation,Yeardley Smith,David Lean,Belgium,199,7243,14,Drop Fast,12,7,247.14,48.14,1,10.0
Drama,Katey Sagal,Rakeysh Omprakash Mehra,Spain,93,2351,4,Growing,65,9,432.46,339.46,1,5.8
Thriller,Beck Bennett,Michelangelo Antonioni,South Korea,349,4137,14,Growing,18,3,215.76,-133.24,0,7.7
Drama,Helen Mirren,Yorgos Lanthimos,Ireland,80,7086,11,Drop Fast,30,22,1173.35,1093.35,1,8.8
Thriller,Harry Shearer,Lars von Trier,New Zealand,225,408,10,Stable,52,9,93.21,-131.79,0,6.3
Comedy,Estelle Harris,Kireet Khurana,India,143,799,14,Slow Drop,34,4,60.46,-82.54,0,8.0
Mystery,Shah Rukh Khan,Pedro Almodóvar,Thailand,376,8996,11,Drop Fast,63,22,320.4,-55.6,0,6.9
Thriller,Bradley Cooper,Mark Osborne,South Korea,399,3909,10,Growing,66,19,3787.25,3388.25,1,9.8
Animation,Jr. NTR,Ang Lee,India,245,7926,2,Growing,47,9,432.39,187.39,1,6.1
Thriller,Kevin Hart,Ramesh Sippy,Spain,158,413,13,Slow Drop,25,23,134.99,-23.01,0,7.2
Sci-Fi,Ashutosh Rana,Walt Disney,Mexico,57,5923,7,Growing,58,23,3470.19,3413.19,1,8.5
Comedy,Christian Bale,Makoto Shinkai,Ireland,146,6752,12,Growing,68,20,-923.27,-1069.27,0,7.6
Animation,Aamir Khan,John Ford,United States,324,6438,8,Slow Drop,30,6,433.66,109.66,1,8.8
Fantasy,Anna Kendrick,Sam Peckinpah,Thailand,398,8660,4,Growing,43,11,881.22,483.22,1,7.5
Animation,Pankaj Tripathi,Vittorio De Sica,New Zealand,35,2608,9,Growing,45,15,1847.65,1812.65,1,9.6
Sci-Fi,Idina Menzel,Alejandro G. Iñárritu,Italy,227,8172,3,Stable,79,22,1587.7,1360.7,1,5.7
Mystery,Andy Serkis,Guru Dutt,United Kingdom,296,4978,13,Drop Fast,63,6,574.68,278.68,1,9.6
Comedy,Eddie Murphy,Billy Wilder,Belgium,270,1022,6,Stable,46,20,298.2,28.2,1,7.3
Fantasy,Neil Patrick Harris,Hamilton Luske,South Korea,286,6300,11,Stable,76,10,2909.62,2623.62,1,10.0
Sci-Fi,Nick Kroll,Brad Bird,Canada,280,2795,14,Growing,35,22,2596.74,2316.74,1,9.8
Sci-Fi,Jim Varney,Zack Snyder,Russia,385,8317,14,Drop Fast,28,18,1127.78,742.78,1,10.0
Action,Ryan Reynolds,Vetrimaaran,India,48,4153,7,Drop Fast,69,16,573.56,525.56,1,8.5
Comedy,Harry Shearer,Mira Nair,India,66,4031,7,Growing,30,4,250.17,184.17,1,8.8
Animation,Brian Tyree Henry,Rajkumar Hirani,Germany,205,4783,6,Stable,28,20,1050.98,845.98,1,7.6
Drama,Johnny Depp,Robert Eggers,Denmark,339,6435,9,Stable,23,13,943.95,604.95,1,8.4
Mystery,Ken Jeong,Kireet Khurana,Thailand,13,9042,1,Stable,69,5,158.54,145.54,1,4.7
Drama,Ram Charan,Mark Osborne,Brazil,75,8183,13,Drop Fast,72,20,579.98,504.98,1,10.0
Animation,Pete Davidson,Rich Moore,Italy,94,6700,9,Growing,12,19,1239.08,1145.08,1,9.4
Animation,Jim Cummings,Yash Chopra,Germany,28,6051,13,Drop Fast,53,18,-896.3,-924.3,0,7.8
Comedy,Rashida Jones,Rajiv Chilaka,Mexico,144,1834,9,Stable,71,20,1122.05,978.05,1,9.5
Animation,Tom Hiddleston,Ava DuVernay,United Kingdom,320,5014,4,Drop Fast,48,17,383.44,63.44,1,5.7
Action,Wallace Shawn,Guru Dutt,New Zealand,344,1367,13,Drop Fast,51,16,303.12,-40.88,0,7.5
Fantasy,Jr. NTR,Paul Thomas Anderson,Thailand,380,4276,12,Growing,22,1,102.96,-277.04,0,6.3
Animation,Brad Pitt,George Stevens,China,82,8590,12,Growing,75,21,4494.42,4412.42,1,10.0
Drama,Seth Green,David Lean,Mexico,218,7158,5,Drop Fast,58,1,26.48,-191.52,0,3.2
Animation,Billy Crystal,Yorgos Lanthimos,Germany,20,5642,3,Slow Drop,61,20,636.93,616.93,1,5.7
Action,Will Arnett,Abbas Kiarostami,Belgium,33,6560,7,Growing,75,14,3496.04,3463.04,1,8.5
Thriller,Liam Neeson,Billy Wilder,Canada,420,6899,2,Slow Drop,49,2,36.23,-383.77,0,3.3
Thriller,Eddie Murphy,Suhas Kadav,South Korea,379,3705,8,Growing,53,15,1472.42,1093.42,1,9.2
Sci-Fi,Benedict Cumberbatch,Sofia Coppola,Australia,295,1002,9,Stable,32,3,37.58,-257.42,0,5.9
Mystery,Steve Carell,Park Chan-wook,Spain,47,7827,6,Slow Drop,74,13,1583.42,1536.42,1,7.0
Horror,Kenan Thompson,Billy Wilder,France,356,9092,9,Stable,42,19,-3148.47,-3504.47,0,5.7
Fantasy,Jim Cummings,Mark Osborne,United States,379,702,6,Stable,29,1,4.92,-374.08,0,5.3
Romance,Om Puri,Yasujirō Ozu,Ireland,57,6025,3,Drop Fast,16,13,60.0,3.0,1,6.5
Sci-Fi,Liam Neeson,Raj Kapoor,Mexico,280,8139,10,Stable,31,15,1749.81,1469.81,1,9.8
Mystery,Suriya,Ron Howard,Mexico,375,6232,3,Stable,30,16,409.07,34.07,1,5.2
Thriller,Shah Rukh Khan,Yorgos Lanthimos,Brazil,236,7606,2,Stable,68,11,391.94,155.94,1,5.5
Drama,Shah Rukh Khan,Ash Brannon,India,216,4919,5,Stable,44,3,170.63,-45.37,0,4.9
Romance,Patton Oswalt,Kirk DeMicco,Russia,12,7948,13,Drop Fast,52,8,706.95,694.95,1,9.3
Mystery,David Spade,Jean-Pierre Jeunet,Belgium,126,3070,14,Drop Fast,22,6,124.33,-1.67,0,7.6
Mystery,John Ratzenberger,Kenji Mizoguchi,India,46,4958,4,Stable,64,5,299.86,253.86,1,6.3
Sci-Fi,Keith David,Vittorio De Sica,France,337,6168,12,Slow Drop,21,15,841.92,504.92,1,10.0
Romance,Hugo Weaving,Wong Kar-wai,France,237,1298,6,Growing,59,9,334.1,97.1,1,6.7
Comedy,Keegan-Michael Key,Martin Scorsese,New Zealand,74,3369,5,Slow Drop,43,23,410.58,336.58,1,7.3
Horror,Mike Myers,Pierre Coffin,Thailand,371,582,6,Stable,34,22,92.52,-278.48,0,5.4
Comedy,Angelina Jolie,Farhan Akhtar,Brazil,20,7990,4,Drop Fast,24,5,55.02,35.02,1,6.1
Romance,Maggie Smith,Gary Trousdale,France,73,4140,14,Stable,48,21,3573.68,3500.68,1,10.0
Comedy,Aidy Bryant,Federico Fellini,India,57,7652,13,Stable,11,10,440.97,383.97,1,9.3
Action,Seth Rogen,Chloe Zhao,India,177,6652,3,Drop Fast,10,6,16.4,-160.6,0,3.1
Thriller,Jordan Peele,Sergio Pablos,United Kingdom,439,4471,1,Slow Drop,26,11,36.61,-402.39,0,2.2
Action,Jordan Peele,Alê Abreu,France,266,4523,5,Growing,48,4,319.49,53.49,1,7.1
Animation,Kyle Mooney,Luis Buñuel,New Zealand,383,2238,6,Stable,47,20,621.02,238.02,1,6.9
Comedy,Bill Nighy,Henry Selick,Mexico,293,5661,5,Drop Fast,65,12,338.71,45.71,1,6.7
Animation,Kenan Thompson,M. Night Shyamalan,Thailand,19,8263,5,Growing,46,20,2901.82,2882.82,1,7.2
Drama,Liam Neeson,Ava DuVernay,Brazil,274,2185,12,Growing,14,6,139.91,-134.09,0,7.6
Fantasy,Michael Che,Sunao Katabuchi,South Korea,171,1462,6,Growing,43,1,28.08,-142.92,0,3.9
Drama,Nana Patekar,Peter Jackson,China,67,5931,4,Drop Fast,27,18,178.09,111.09,1,7.0
Romance,John Cho,François Truffaut,Denmark,265,5316,14,Stable,36,2,325.28,60.28,1,10.0
Mystery,Seth Green,Clint Eastwood,China,125,549,12,Drop Fast,75,5,51.24,-73.76,0,6.0
Thriller,Angelina Jolie,Claude Barras,Mexico,350,640,4,Stable,73,16,101.89,-248.11,0,3.7
Comedy,Eddie Murphy,Andrei Tarkovsky,Russia,244,3008,11,Slow Drop,54,12,765.47,521.47,1,9.8
Sci-Fi,Jess Harnell,M. Night Shyamalan,United Kingdom,111,2762,13,Growing,30,12,1284.67,1173.67,1,10.0
Fantasy,Tilda Swinton,Shankar,Thailand,184,3352,8,Stable,13,11,181.98,-2.02,0,4.4
Horror,Kenan Thompson,Rajiv Chilaka,South Korea,20,8679,11,Slow Drop,25,20,1698.12,1678.12,1,10.0
Horror,Tiffany Haddish,Wong Kar-wai,Australia,359,9389,8,Drop Fast,60,19,-754.2,-1113.2,0,4.3
Horror,Justin Timberlake,Zack Snyder,New Zealand,426,2533,12,Growing,29,21,1257.29,831.29,1,9.3
Comedy,Nana Patekar,Billy Wilder,Spain,313,273,3,Stable,75,7,20.72,-292.28,0,3.4
Horror,David Spade,Nishith Takia,Russia,219,7744,7,Growing,42,2,392.4,173.4,1,7.2
Action,Fred Armisen,Hamilton Luske,Mexico,81,7149,5,Growing,16,6,213.93,132.93,1,6.2
Fantasy,John Leguizamo,Glen Keane,Canada,229,2405,5,Growing,38,4,108.45,-120.55,0,4.0
Action,Jordan Peele,Nick Park,Italy,97,8821,12,Drop Fast,50,2,241.98,144.98,1,10.0
Mystery,Jason Segel,Christopher Miller,Mexico,185,1671,13,Growing,24,17,575.37,390.37,1,10.0
Fantasy,Jason Mantzoukas,Ron Howard,China,178,3681,3,Stable,58,8,216.55,38.55,1,6.6
Action,Paul McCartney,Shankar,Germany,358,7738,2,Drop Fast,73,5,100.84,-257.16,0,3.5
Fantasy,Neil Patrick Harris,Michel Ocelot,Australia,358,3380,13,Slow Drop,31,10,400.73,42.73,1,10.0
Mystery,Jim Carrey,Luc Besson,Japan,223,1930,3,Stable,22,16,108.47,-114.53,0,2.7
Animation,Scarlett Johansson,Ari Aster,Denmark,147,235,7,Drop Fast,35,2,2.76,-144.24,0,5.0
Comedy,Elizabeth Banks,Asghar Farhadi,South Korea,319,1220,3,Stable,10,19,30.5,-288.5,0,2.7
Comedy,Elizabeth Banks,Yash Chopra,Germany,438,5734,11,Stable,36,7,802.87,364.87,1,10.0
Horror,Paul McCartney,Ethan Coen,United Kingdom,397,7361,13,Slow Drop,59,2,477.18,80.18,1,10.0
Drama,Mahesh Babu,Andrew Stanton,Belgium,286,8209,2,Drop Fast,61,13,251.03,-34.97,0,2.4
Horror,Rashida Jones,Mark Osborne,France,263,3317,4,Growing,65,23,1239.97,976.97,1,6.9
Romance,Lake Bell,Guillermo del Toro,France,360,2735,12,Stable,52,4,365.99,5.99,1,10.0
Action,Awkwafina,Phil Lord,Canada,51,4914,5,Stable,57,16,889.87,838.87,1,7.0
Fantasy,Anna Kendrick,François Truffaut,Spain,9,8537,13,Stable,29,10,1578.18,1569.18,1,10.0
Drama,Sharad Kelkar,Andrei Tarkovsky,United Kingdom,66,5163,7,Stable,59,17,1454.28,1388.28,1,8.4
Mystery,Fred Armisen,William Wyler,France,88,6291,1,Stable,60,21,396.37,308.37,1,6.1
Romance,Matthew McConaughey,Wes Anderson,India,137,1226,14,Drop Fast,38,14,213.08,76.08,1,10.0
Mystery,J.K. Simmons,Zack Snyder,New Zealand,398,3865,8,Stable,78,12,1724.17,1326.17,1,9.1
Comedy,Jim Carrey,Taika Waititi,China,340,1486,10,Stable,55,13,562.89,222.89,1,9.3
Comedy,Mahesh Babu,Rajkumar Hirani,United States,67,3046,3,Stable,38,20,353.59,286.59,1,5.5
Horror,Brian Tyree Henry,Sylvain Chomet,South Korea,285,8712,14,Growing,11,8,1009.77,724.77,1,10.0
Action,Jim Cummings,Dean DeBlois,India,48,7974,11,Growing,42,17,-4901.57,-4949.57,0,6.0
Drama,Bill Nighy,Neeraj Pandey,Brazil,157,2493,6,Drop Fast,74,18,382.39,225.39,1,7.1
Thriller,Irrfan Khan,Jean-Pierre Jeunet,Denmark,418,1812,4,Stable,71,21,361.73,-56.27,0,4.2
Romance,Mahesh Babu,Steven Spielberg,Spain,274,676,14,Stable,16,10,60.02,-213.98,0,8.5
Romance,Suriya,Tomm Moore,New Zealand,346,7626,5,Slow Drop,53,13,618.02,272.02,1,7.7
Horror,Christopher Lee,Frank Capra,United States,175,9174,10,Growing,63,2,718.51,543.51,1,8.7
Comedy,Willem Dafoe,Paul Thomas Anderson,South Korea,160,2147,12,Slow Drop,63,17,947.95,787.95,1,9.7
Horror,Patrick Stewart,Ari Aster,Italy,279,3531,6,Stable,33,6,223.93,-55.07,0,5.4
Fantasy,Mila Kunis,Rich Moore,Italy,362,5460,2,Stable,67,12,417.76,55.76,1,6.6
Drama,Jordan Peele,Andrew Adamson,New Zealand,430,6266,13,Slow Drop,79,13,-1505.46,-1935.46,0,8.2
Action,Maggie Smith,Gitanjali Rao,China,24,7847,3,Drop Fast,55,4,76.87,52.87,1,6.1
Animation,Patrick Stewart,Gary Trousdale,Spain,218,5669,8,Drop Fast,65,15,1062.29,844.29,1,8.8
Sci-Fi,Jess Harnell,Tomm Moore,Italy,83,1793,8,Slow Drop,70,16,517.37,434.37,1,8.9
Sci-Fi,Seth Rogen,Chris Wedge,Australia,143,7904,1,Stable,65,21,476.23,333.23,1,4.5
Horror,Aamir Khan,Katsuhiro Otomo,Canada,442,6354,10,Slow Drop,10,19,484.15,42.15,1,8.5
Fantasy,Will Arnett,John Ford,United States,102,456,8,Growing,14,15,62.93,-39.07,0,6.0
Drama,Justin Timberlake,Edgar Wright,Ireland,381,6712,11,Drop Fast,59,6,473.94,92.94,1,9.2
